DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location
222005377,02/01/2022,01/01/2022,0100,20,Olympic,2001,997,TRAFFIC COLLISION,3006 3035 3037 3104 3401 3701 3028 3030 4027,34,M,H,101,STREET,NORTON                       AV,CLINTON                      AV,"(34.0817, -118.317)"
220904006,01/01/2022,01/01/2022,0020,09,Van Nuys,0935,997,TRAFFIC COLLISION,3011 3028 4026 3030 3034 3037 3101,23,M,O,101,STREET,BESSEMER                     ST,TYRONE                       AV,"(34.1808, -118.4443)"
221004014,01/01/2022,01/01/2022,0830,10,West Valley,1047,997,TRAFFIC COLLISION,3011 3028 4026 3030 3037 3101,48,H,W,101,STREET,OXNARD                       ST,ALDEA                        AV,"(34.1802, -118.5076)"
221804029,01/01/2022,01/01/2022,0930,18,Southeast,1863,997,TRAFFIC COLLISION,4025 3003 3024,49,M,H,101,STREET,AVALON,118TH                        ST,"(33.9265, -118.2652)"
220204033,01/01/2022,01/01/2022,1224,02,Rampart,0235,997,TRAFFIC COLLISION,0605 3004 3026 3029 3101 4024 3401 3701 3036,38,M,H,101,STREET,ALVARADO                     ST,TEMPLE                       ST,"(34.0703, -118.268)"
220204015,01/01/2022,01/01/2022,0200,02,Rampart,0281,997,TRAFFIC COLLISION,3401 0605 3011 3028 3030 3033 3034 3037 3101 4024,99,M,O,101,STREET,12TH                         ST,ALVARADO                     ST,"(34.0488, -118.2817)"
220504005,01/01/2022,01/01/2022,1230,05,Harbor,0584,997,TRAFFIC COLLISION,3036 3004 3026 3101 4025,53,M,H,101,STREET,WALKER                       AV,36TH                         ST,"(33.7159, -118.3047)"
222004009,01/01/2022,01/01/2022,0145,20,Olympic,2019,997,TRAFFIC COLLISION,3004 3011 3025 4020,33,M,H,101,STREET,3RD                          ST,VIRGIL                       AV,"(34.069, -118.2868)"
220604025,01/02/2022,01/01/2022,0350,06,Hollywood,0648,997,TRAFFIC COLLISION,3004 3024 3035 3037 3101 3401 3701 4006,26,F,W,101,STREET,HOLLYWOOD                    BL,GRAMERCY                     AV,"(34.1017, -118.3123)"
220204034,01/01/2022,01/01/2022,1224,02,Rampart,0235,997,TRAFFIC COLLISION,0605 3004 3026 3029 3101 4024 3401 3701 3036 3034,38,M,H,101,STREET,ALVARADO                     ST,TEMPLE                       ST,"(34.0703, -118.268)"
222004032,01/01/2022,01/01/2022,1330,20,Olympic,2074,997,TRAFFIC COLLISION,4027 3006 3026 3038 3035 3101 3401 3701 3037,54,M,H,101,STREET,VENICE                       BL,NORMANDIE                    AV,"(34.0438, -118.3004)"
220704001,01/01/2022,01/01/2022,0416,07,Wilshire,0717,997,TRAFFIC COLLISION,3004 3026 3038 4027 3034 3037 3101 3401 3701,27,M,B,101,STREET,HIGHLAND                     AV,ROSEWOOD                     AV,"(34.0803, -118.3385)"
221004025,01/02/2022,01/01/2022,1745,10,West Valley,1018,997,TRAFFIC COLLISION,3006 3028 4026 3030 3037 3101,34,F,W,101,STREET,DEMPSEY                      AV,VALERIO                      ST,"(34.2048, -118.4761)"
221104001,01/01/2022,01/01/2022,0145,11,Northeast,1126,997,TRAFFIC COLLISION,0605 3006 3028 3039 4024 3101 3401 3701 3037,45,F,H,101,STREET,N  AVE 53,LINCOLN                      AV,"(34.1232, -118.2003)"
220704193,01/06/2022,01/01/2022,0100,07,Wilshire,0738,997,TRAFFIC COLLISION,3028 4007 3006 3030 3035 3037 3101 3401 3701,50,F,W,101,STREET,HIGHLAND                     AV,8TH                          ST,"(34.0604, -118.3388)"
